date,D,H,H2,H3,H4,SinD,CosD,T
1993-03-18,3.5200000000000005,63.839999999999996,4075.5455999999995,260182.83110399995,16610071.937679356,0.97,0.24,433
1993-03-29,3.5200000000000005,64.61,4174.4520999999995,269711.350181,17426050.33519441,1.0,0.06,444
1993-04-12,3.24,65.86999999999999,4338.856899999999,285800.50400299986,18825679.1986776,0.98,-0.18,458
1993-04-26,2.0500000000000007,69.23,4792.7929,331805.05246700003,22970863.782290414,0.91,-0.41,472
1993-05-11,2.6800000000000006,69.78999999999999,4870.644099999999,339922.2517389999,23723173.9488648,0.77,-0.63,487
1993-05-31,0.79,72.1,5198.409999999999,374805.3609999999,27023466.52809999,0.52,-0.86,507
1993-06-14,3.87,69.86,4880.4196,340946.113256,23818495.47206416,0.3,-0.95,521
1993-06-28,6.8100000000000005,66.22,4385.0884,290380.553848,19229000.27581456,0.06,-1.0,535
1993-07-13,7.86,66.36,4403.6496,292226.187456,19392129.79958016,-0.2,-0.98,550
1993-07-26,9.68,65.24,4256.257599999999,277678.2458239999,18115728.757557753,-0.41,-0.91,563
1993-08-09,11.57,62.65,3925.0225,245902.65962499997,15405801.625506248,-0.62,-0.79,577
1993-08-23,13.04,60.96999999999999,3717.340899999999,226646.27467299992,13818623.366812803,-0.79,-0.62,591
1993-09-06,13.739999999999998,61.10999999999999,3734.432099999999,228211.1456309999,13945983.109510403,-0.91,-0.41,605
1993-09-20,12.48,60.55,3666.3025,221994.61637499998,13441774.021506248,-0.98,-0.18,619
1993-10-04,10.66,59.709999999999994,3565.2840999999994,212883.11361099992,12711250.713712804,-1.0,0.06,633
1993-10-19,2.54,73.71,5433.164099999999,400478.5258109999,29519272.1375288,-0.95,0.31,648
1993-11-02,3.7300000000000004,69.64999999999999,4851.122499999999,337880.6821249999,23533389.510006238,-0.85,0.53,662
1993-11-15,4.92,66.43,4412.944900000001,293151.9297070001,19474082.690436017,-0.71,0.7,675
1993-11-29,4.57,65.16999999999999,4247.128899999999,276785.39041299984,18038103.893215194,-0.52,0.85,689
1993-12-14,2.54,67.61999999999999,4572.464399999999,309190.04272799985,20907430.68926735,-0.29,0.96,704
1993-12-28,1.910000000000001,67.75999999999999,4591.417599999999,311114.45657599985,21081115.57758975,-0.05,1.0,718
1994-01-10,-0.5399999999999991,74.55,5557.702499999999,414326.72137499996,30888057.078506246,0.17,0.99,731
1994-01-24,-0.9599999999999991,72.03,5188.3209,373714.754427,26918673.761376813,0.4,0.92,745
1994-02-07,-1.2399999999999984,71.75,5148.0625,369373.484375,26502547.50390625,0.61,0.79,759
1994-02-21,-0.9599999999999991,68.88,4744.4544,326798.01907199994,22509847.553679354,0.78,0.63,773
1994-03-07,-0.8899999999999988,70.77,5008.3929,354443.96553299995,25083999.440770403,0.91,0.42,787
1994-03-21,-0.049999999999998934,70.77,5008.3929,354443.96553299995,25083999.440770403,0.98,0.19,801
1994-04-05,-0.6799999999999997,72.86999999999999,5310.036899999998,386942.38890299987,28196491.879361596,1.0,-0.06,816
1994-04-18,-0.9599999999999991,74.69,5578.5961,416665.342709,31120734.446935207,0.96,-0.28,829
1994-04-28,-3.2699999999999996,76.3,5821.69,444194.9469999999,33892074.456099994,0.9,-0.44,839
1994-05-16,-1.5410000000000004,75.94999999999999,5768.402499999998,438110.1698749998,33274467.40200623,0.72,-0.7,857
1994-05-30,-1.0999999999999996,74.55,5557.702499999999,414326.72137499996,30888057.078506246,0.53,-0.85,871
1994-06-13,2.0500000000000007,72.94,5320.2436,388058.568184,28304991.963340957,0.31,-0.95,885
1994-06-27,3.7300000000000004,72.24,5218.6176,376992.9354239999,27233969.65502975,0.08,-1.0,899
1994-07-11,6.25,69.02,4763.760399999999,328794.74280799995,22693413.148608156,-0.16,-0.99,913
1994-07-25,9.54,67.61999999999999,4572.464399999999,309190.04272799985,20907430.68926735,-0.39,-0.92,927
1994-08-08,9.68,67.27,4525.2528999999995,304413.76258299995,20477913.808958404,-0.6,-0.8,941
1994-08-22,9.89,68.03999999999999,4629.441599999999,314987.2064639999,21431729.52781055,-0.77,-0.63,955
1994-09-05,10.45,67.34,4534.6756000000005,305365.054904,20563282.797235366,-0.9,-0.43,969
1994-09-19,8.91,66.99,4487.660099999999,300628.3500989999,20139093.173132002,-0.98,-0.2,983
1994-10-03,9.05,65.03,4228.900900000001,275005.42552700004,17883602.82202081,-1.0,0.04,997
1994-10-17,10.24,61.04,3725.8815999999997,227427.81286399998,13882193.69721856,-0.96,0.28,1011
1994-10-31,9.54,58.51999999999999,3424.5903999999987,200407.0302079999,11727819.407772152,-0.87,0.5,1025
1994-11-15,6.04,66.08,4366.5664,288542.707712,19066902.12560896,-0.71,0.7,1040
1994-11-29,6.390000000000001,63.839999999999996,4075.5455999999995,260182.83110399995,16610071.937679356,-0.52,0.85,1054
1994-12-12,6.53,61.669999999999995,3803.188899999999,234542.65946299993,14464245.809083205,-0.32,0.95,1067
1994-12-27,5.27,59.849999999999994,3582.022499999999,214384.04662499993,12830885.190506246,-0.07,1.0,1082
1995-01-09,3.45,65.94,4348.0836,286712.63258399995,18905830.992588956,0.15,0.99,1095
1995-01-23,1.9800000000000004,67.55,4563.0025,308230.81887499994,20820991.815006245,0.39,0.92,1109
1995-02-06,1.910000000000001,66.78,4459.5684,297809.97775200004,19887750.31427856,0.59,0.8,1123
1995-02-20,0.8600000000000012,70.0,4900.0,343000.0,24010000.0,0.77,0.64,1137
1995-03-06,0.3000000000000007,70.14,4919.6196,345062.11874400004,24202657.00870416,0.9,0.44,1151
1995-03-20,0.3700000000000001,68.46,4686.771599999999,320856.38373599993,21965828.03056655,0.98,0.21,1165
1995-04-03,2.4000000000000004,68.80999999999999,4734.816099999998,325802.69584099983,22418483.500819195,1.0,-0.03,1179
1995-04-18,3.87,69.23,4792.7929,331805.05246700003,22970863.782290414,0.96,-0.28,1194
1995-05-02,2.54,70.63,4988.5969,352344.59904699994,24886099.030689605,0.86,-0.5,1208
1995-05-15,3.1000000000000005,70.69999999999999,4998.489999999998,353393.24299999984,24984902.280099984,0.73,-0.68,1221
1995-05-29,3.66,70.98,5038.160400000001,357608.62519200006,25383060.216128167,0.55,-0.84,1235
1995-06-12,7.09,66.99,4487.660099999999,300628.3500989999,20139093.173132002,0.33,-0.94,1249
1995-06-26,8.7,65.86999999999999,4338.856899999999,285800.50400299986,18825679.1986776,0.09,-1.0,1263
1995-07-10,9.19,66.36,4403.6496,292226.187456,19392129.79958016,-0.15,-0.99,1277
1995-07-24,12.2,66.57,4431.564899999999,295009.27539299993,19638767.462912,-0.38,-0.93,1291
1995-08-07,12.129999999999999,66.78,4459.5684,297809.97775200004,19887750.31427856,-0.59,-0.81,1305
1995-08-21,13.18,66.08,4366.5664,288542.707712,19066902.12560896,-0.76,-0.65,1319
1995-09-04,13.81,65.94,4348.0836,286712.63258399995,18905830.992588956,-0.9,-0.44,1333
1995-09-19,11.57,65.59,4302.048100000001,282171.33487900003,18507617.854713615,-0.98,-0.2,1348
1995-10-02,11.36,64.68,4183.502400000001,270588.9352320001,17501692.330805767,-1.0,0.02,1361
1995-10-16,12.059999999999999,59.919999999999995,3590.4063999999994,215137.15148799994,12891018.117160955,-0.97,0.26,1375
1995-11-02,11.36,57.81999999999999,3343.152399999999,193301.07176799994,11176667.969625754,-0.85,0.53,1392
1995-11-13,10.45,57.74999999999999,3335.062499999999,192599.85937499994,11122641.878906244,-0.74,0.68,1403
1995-11-27,7.65,62.79,3942.5841,247554.855639,15543969.38557281,-0.55,0.83,1417
1995-12-12,6.25,60.339999999999996,3640.9155999999994,219692.84730399997,13256266.406323357,-0.32,0.95,1432
1995-12-27,3.66,67.96999999999998,4619.920899999998,314016.0235729998,21343669.12225679,-0.07,1.0,1447
1996-01-08,-1.8699999999999992,76.36999999999999,5832.376899999998,445418.6238529998,34016620.30365359,0.14,0.99,1459
1996-01-22,-2.219999999999999,75.03999999999999,5631.001599999999,422550.3600639999,31708179.019202545,0.37,0.93,1473
1996-02-05,-1.8699999999999992,72.30999999999999,5228.736099999998,378089.90739099984,27339681.203443192,0.58,0.81,1487
1996-02-21,-1.7300000000000004,70.77,5008.3929,354443.96553299995,25083999.440770403,0.78,0.63,1503
1996-03-04,-1.0299999999999994,69.23,4792.7929,331805.05246700003,22970863.782290414,0.89,0.45,1515
1996-03-18,0.3700000000000001,66.5,4422.25,294079.625,19556295.0625,0.97,0.23,1529
1996-04-02,-0.2599999999999998,69.86,4880.4196,340946.113256,23818495.47206416,1.0,-0.03,1544
1996-04-15,-0.049999999999998934,72.1,5198.409999999999,374805.3609999999,27023466.52809999,0.97,-0.25,1557
1996-04-30,-1.4220000000000006,73.99,5474.520099999999,405059.7421989999,29970370.325304,0.87,-0.49,1572
1996-05-15,-1.6600000000000001,74.83,5599.528899999999,419012.74758699996,31354723.90193521,0.72,-0.7,1587
1996-05-28,-0.8199999999999985,74.75999999999999,5589.057599999998,417837.9461759998,31237564.856117744,0.55,-0.84,1600
1996-06-11,1.9800000000000004,72.86999999999999,5310.036899999998,386942.38890299987,28196491.879361596,0.33,-0.94,1614
1996-06-25,4.15,73.28999999999999,5371.424099999999,393671.6722889999,28852196.862060796,0.09,-1.0,1628
1996-07-09,4.220000000000001,72.86999999999999,5310.036899999998,386942.38890299987,28196491.879361596,-0.15,-0.99,1642
1996-07-23,6.32,73.00999999999999,5330.460099999998,389176.8919009999,28413804.877691995,-0.38,-0.93,1656
1996-08-05,7.51,71.89,5168.1721,371539.892269,26710002.85521841,-0.57,-0.82,1669
1996-08-19,7.58,71.75,5148.0625,369373.484375,26502547.50390625,-0.75,-0.66,1683
1996-09-03,7.72,70.41999999999999,4958.976399999999,349211.1180879998,24591446.935756944,-0.9,-0.44,1698
1996-09-16,7.23,69.36999999999999,4812.196899999999,333822.09895299986,23157239.004369598,-0.97,-0.23,1711
1996-09-30,7.51,67.61999999999999,4572.464399999999,309190.04272799985,20907430.68926735,-1.0,0.0,1725
1996-10-15,7.86,63.489999999999995,4030.9800999999993,255926.92654899994,16248800.566596005,-0.97,0.26,1740
1996-10-28,8.07,62.16,3863.8655999999996,240177.88569599995,14929457.374863356,-0.88,0.47,1753
1996-11-11,6.95,61.04,3725.8815999999997,227427.81286399998,13882193.69721856,-0.75,0.66,1767
1996-11-25,3.7300000000000004,69.86,4880.4196,340946.113256,23818495.47206416,-0.57,0.82,1781
1996-12-09,4.15,63.559999999999995,4039.8735999999994,256774.36601599993,16320578.703976955,-0.35,0.94,1795
1996-12-26,4.15,62.36999999999999,3890.0168999999987,242620.3540529999,15132231.4822856,-0.07,1.0,1812
1997-01-06,3.3100000000000005,61.53,3785.9409,232948.94357700003,14333348.498292811,0.1,0.99,1823
1997-01-20,2.4699999999999998,64.19,4120.3561,264485.658059,16977334.390807208,0.34,0.94,1837
1997-02-03,1.910000000000001,65.52,4292.8704,281268.86860799993,18428736.271196157,0.55,0.83,1851
1997-02-17,0.3000000000000007,65.52,4292.8704,281268.86860799993,18428736.271196157,0.74,0.68,1865
1997-03-03,0.020000000000000462,68.53,4696.360900000001,321841.612477,22055805.70304881,0.88,0.48,1879
1997-03-18,1.2100000000000009,69.78999999999999,4870.644099999999,339922.2517389999,23723173.9488648,0.97,0.24,1894
1997-04-01,2.8900000000000006,66.85,4468.9225,298747.46912499995,19971268.311006244,1.0,0.0,1908
1997-04-15,1.1050000000000004,67.75999999999999,4591.417599999999,311114.45657599985,21081115.57758975,0.97,-0.23,1922
1997-04-28,2.96,68.46,4686.771599999999,320856.38373599993,21965828.03056655,0.9,-0.44,1935
1997-05-12,2.1899999999999995,70.55999999999999,4978.713599999998,351298.0316159998,24787589.110824943,0.76,-0.65,1949
1997-05-26,1.5600000000000005,72.52,5259.1503999999995,381393.58700799994,27658662.929820154,0.59,-0.81,1963
1997-06-09,0.79,74.27,5516.032899999999,409675.76348299993,30426618.953882404,0.38,-0.93,1977
1997-06-23,1.3500000000000005,73.71,5433.164099999999,400478.5258109999,29519272.1375288,0.15,-0.99,1991
1997-07-07,2.1899999999999995,73.21999999999998,5361.168399999998,392544.75024799973,28742126.613158535,-0.09,-1.0,2005
1997-07-21,4.71,71.67999999999999,5138.022399999999,368293.4456319999,26399274.182901748,-0.33,-0.94,2019
1997-08-04,7.09,73.21999999999998,5361.168399999998,392544.75024799973,28742126.613158535,-0.55,-0.84,2033
1997-08-18,7.3,72.30999999999999,5228.736099999998,378089.90739099984,27339681.203443192,-0.73,-0.68,2047
1997-09-01,7.0200000000000005,71.67999999999999,5138.022399999999,368293.4456319999,26399274.182901748,-0.87,-0.49,2061
1997-09-15,7.58,71.67999999999999,5138.022399999999,368293.4456319999,26399274.182901748,-0.96,-0.27,2075
1997-09-29,8.49,69.71999999999998,4860.878399999998,338900.44204799976,23628138.819586538,-1.0,-0.03,2089
1997-10-13,8.63,68.03999999999999,4629.441599999999,314987.2064639999,21431729.52781055,-0.98,0.21,2103
1997-10-27,7.93,67.69,4581.9361,310151.254609,20994138.424483206,-0.9,0.44,2117
1997-11-10,6.46,66.57,4431.564899999999,295009.27539299993,19638767.462912,-0.77,0.64,2131
1997-11-24,4.71,68.32,4667.622399999999,318891.9623679999,21786698.868981753,-0.59,0.8,2145
1997-12-09,4.01,65.86999999999999,4338.856899999999,285800.50400299986,18825679.1986776,-0.37,0.93,2160
1997-12-22,1.8399999999999999,71.19,5068.0161,360792.066159,25684787.189859208,-0.15,0.99,2173
1998-01-05,-0.33000000000000007,74.13,5495.256899999999,407363.39399699995,30197848.3969976,0.09,1.0,2187
1998-01-19,-0.049999999999998934,71.67999999999999,5138.022399999999,368293.4456319999,26399274.182901748,0.32,0.95,2201
1998-02-02,0.6500000000000004,65.59,4302.048100000001,282171.33487900003,18507617.854713615,0.54,0.84,2215
1998-02-16,0.6500000000000004,66.91999999999999,4478.286399999998,299686.9258879998,20055049.080424946,0.72,0.69,2229
1998-03-02,1.0,65.16999999999999,4247.128899999999,276785.39041299984,18038103.893215194,0.87,0.5,2243
1998-03-16,1.3500000000000005,66.78,4459.5684,297809.97775200004,19887750.31427856,0.96,0.28,2257
1998-03-30,1.5600000000000005,68.46,4686.771599999999,320856.38373599993,21965828.03056655,1.0,0.04,2271
1998-04-14,-2.92,74.34,5526.435600000001,410835.22250400006,30541490.440947365,0.98,-0.22,2286
1998-04-27,-2.8499999999999996,74.34,5526.435600000001,410835.22250400006,30541490.440947365,0.9,-0.43,2299
1998-05-11,-2.4299999999999997,74.48,5547.2704,413160.69939200004,30772208.890716165,0.77,-0.63,2313
1998-05-25,-0.049999999999998934,73.71,5433.164099999999,400478.5258109999,29519272.1375288,0.6,-0.8,2327
1998-06-08,-0.1899999999999995,73.71,5433.164099999999,400478.5258109999,29519272.1375288,0.39,-0.92,2341
1998-06-30,4.57,71.19,5068.0161,360792.066159,25684787.189859208,0.03,-1.0,2363
1998-07-13,5.2,70.69999999999999,4998.489999999998,353393.24299999984,24984902.280099984,-0.2,-0.98,2376
1998-07-27,6.46,69.71999999999998,4860.878399999998,338900.44204799976,23628138.819586538,-0.43,-0.91,2390
1998-08-10,7.37,69.50999999999999,4831.640099999999,335847.3033509999,23344746.055928,-0.63,-0.78,2404
1998-08-24,8.56,67.83,4600.908899999999,312079.65068699996,21168362.70609921,-0.8,-0.61,2418
1998-09-07,9.26,67.41,4544.1080999999995,306318.327021,20648918.424485605,-0.92,-0.4,2432
1998-09-21,9.89,65.30999999999999,4265.396099999998,278573.01929099986,18193603.889895197,-0.99,-0.17,2446
1998-10-06,7.93,67.34,4534.6756000000005,305365.054904,20563282.797235366,-1.0,0.09,2461
1998-10-19,7.44,66.71,4450.224099999999,296874.4497109999,19804494.5402208,-0.95,0.31,2474
1998-11-02,7.16,64.68,4183.502400000001,270588.9352320001,17501692.330805767,-0.85,0.53,2488
1998-11-16,6.6,63.419999999999995,4022.0963999999994,255081.35368799994,16177259.450892955,-0.7,0.71,2502
1998-11-30,5.76,61.31999999999999,3760.1423999999993,230571.93196799993,14138670.868277755,-0.51,0.86,2516
1998-12-14,6.6,53.83,2897.6688999999997,155981.51688699998,8396485.054027209,-0.29,0.96,2530
1998-12-28,5.9,53.55,2867.6024999999995,153560.11387499998,8223144.0980062485,-0.05,1.0,2544
1999-01-11,5.9,50.959999999999994,2596.921599999999,132339.12473599994,6744001.796546557,0.19,0.98,2558
1999-01-25,4.57,56.209999999999994,3159.564099999999,177599.09806099994,9982845.302008806,0.42,0.91,2572
1999-02-08,3.9400000000000004,55.51,3081.3601,171046.29915099998,9494780.065872008,0.62,0.78,2586
1999-02-22,3.380000000000001,54.31999999999999,2950.6623999999993,160279.98156799993,8706408.598773755,0.79,0.61,2600
1999-03-08,3.8000000000000007,53.41,2852.6280999999994,152358.86682099997,8137487.076909608,0.91,0.41,2614
1999-03-22,4.15,56.559999999999995,3199.0335999999993,180937.34041599996,10233815.973928956,0.98,0.18,2628
1999-04-06,4.36,59.15,3498.7225,206949.435875,12241059.132006248,1.0,-0.08,2643
1999-04-19,4.15,60.48,3657.8304,221225.58259199996,13379723.235164158,0.95,-0.3,2656
1999-05-03,2.330000000000001,66.22,4385.0884,290380.553848,19229000.27581456,0.85,-0.52,2670
1999-05-17,1.3500000000000005,70.49,4968.840099999999,350253.53864899994,24689371.939368002,0.71,-0.71,2684
1999-05-31,2.0500000000000007,71.33,5087.9689,362924.82163699996,25887427.52736721,0.52,-0.86,2698
1999-06-14,2.6100000000000003,72.52,5259.1503999999995,381393.58700799994,27658662.929820154,0.3,-0.95,2712
1999-06-28,4.01,71.46999999999998,5107.960899999998,365065.96552299976,26091264.55592879,0.06,-1.0,2726
1999-07-13,6.67,69.86,4880.4196,340946.113256,23818495.47206416,-0.2,-0.98,2741
1999-07-26,8.63,68.6,4705.959999999999,322828.8559999999,22146059.521599993,-0.41,-0.91,2754
1999-08-09,8.84,67.27,4525.2528999999995,304413.76258299995,20477913.808958404,-0.62,-0.79,2768
1999-08-23,9.959999999999999,66.43,4412.944900000001,293151.9297070001,19474082.690436017,-0.79,-0.62,2782
1999-09-06,11.29,64.89,4210.7121,273233.108169,17730096.38908641,-0.91,-0.41,2796
1999-09-27,7.23,70.28,4939.2784,347132.485952,24396471.11270656,-1.0,-0.06,2817
1999-10-11,7.86,67.05999999999999,4497.043599999998,301571.7438159998,20223401.140300944,-0.98,0.18,2831
1999-10-25,5.9,70.14,4919.6196,345062.11874400004,24202657.00870416,-0.91,0.41,2845
1999-11-08,3.9400000000000004,71.53999999999999,5117.971599999999,366139.6882639999,26193633.29840655,-0.79,0.61,2859
1999-11-22,3.45,68.03999999999999,4629.441599999999,314987.2064639999,21431729.52781055,-0.62,0.78,2873
1999-12-06,3.3100000000000005,66.28999999999999,4394.364099999999,291302.3961889999,19310435.843368802,-0.42,0.91,2887
1999-12-20,1.2800000000000002,69.78999999999999,4870.644099999999,339922.2517389999,23723173.9488648,-0.19,0.98,2901
2000-01-03,0.7200000000000006,70.77,5008.3929,354443.96553299995,25083999.440770403,0.05,1.0,2915
2000-01-17,1.0,67.13,4506.4369,302517.1090969999,20307973.533681605,0.29,0.96,2929
2000-01-31,1.0700000000000003,63.06999999999999,3977.824899999999,250881.4164429999,15823090.935060004,0.51,0.86,2943
2000-02-14,1.9800000000000004,61.459999999999994,3777.331599999999,232154.80013599992,14268234.016358554,0.7,0.71,2957
2000-02-28,1.8399999999999999,61.88,3829.1344000000004,236946.83667200003,14662270.253263362,0.85,0.53,2971
2000-03-13,2.6800000000000006,63.06999999999999,3977.824899999999,250881.4164429999,15823090.935060004,0.95,0.31,2985
2000-03-27,2.4699999999999998,63.14,3986.6596,251717.687144,15893454.766272161,1.0,0.07,2999
2000-04-10,1.7700000000000005,64.61,4174.4520999999995,269711.350181,17426050.33519441,0.99,-0.17,3013
2000-04-26,-2.709999999999999,73.14999999999999,5350.922499999999,391419.9808749999,28632371.601006236,0.9,-0.43,3029
2000-05-08,-2.08,72.52,5259.1503999999995,381393.58700799994,27658662.929820154,0.8,-0.61,3041
2000-05-22,1.5600000000000005,69.02,4763.760399999999,328794.74280799995,22693413.148608156,0.63,-0.78,3055
2000-06-05,4.01,66.5,4422.25,294079.625,19556295.0625,0.43,-0.91,3069
2000-06-19,6.6,66.5,4422.25,294079.625,19556295.0625,0.2,-0.98,3083
2000-07-03,6.53,66.78,4459.5684,297809.97775200004,19887750.31427856,-0.04,-1.0,3097
2000-07-17,9.05,64.25999999999999,4129.347599999999,265351.8767759999,17051511.60162575,-0.28,-0.96,3111
2000-07-31,9.959999999999999,63.14,3986.6596,251717.687144,15893454.766272161,-0.5,-0.87,3125
2000-08-16,11.64,61.739999999999995,3811.827599999999,235342.23602399995,14530029.652121754,-0.72,-0.7,3141
2000-08-28,11.57,61.31999999999999,3760.1423999999993,230571.93196799993,14138670.868277755,-0.85,-0.53,3153
2000-09-11,12.27,61.459999999999994,3777.331599999999,232154.80013599992,14268234.016358554,-0.95,-0.32,3167
2000-09-25,11.709999999999999,59.64,3556.9296,212135.28134400002,12651748.17935616,-1.0,-0.08,3181
2000-10-09,10.8,59.64,3556.9296,212135.28134400002,12651748.17935616,-0.99,0.16,3195
2000-10-23,8.56,61.10999999999999,3734.432099999999,228211.1456309999,13945983.109510403,-0.92,0.39,3209
2000-11-06,5.41,67.13,4506.4369,302517.1090969999,20307973.533681605,-0.8,0.6,3223
2000-11-20,4.01,66.00999999999999,4357.320099999999,287626.6998009999,18986238.453864,-0.64,0.77,3237
2000-12-04,2.1899999999999995,69.23,4792.7929,331805.05246700003,22970863.782290414,-0.43,0.9,3251
2000-12-18,-2.1499999999999986,75.11,5641.5121,423733.973831,31826658.77444641,-0.21,0.98,3265
2001-01-03,-3.4799999999999986,75.25,5662.5625,426107.828125,32064614.06640625,0.05,1.0,3281
2001-01-15,-2.4299999999999997,72.59,5269.3081,382499.074979,27765607.852725614,0.26,0.97,3293
2001-01-29,-3.620000000000001,73.36,5381.6896,394800.749056,28962582.95074816,0.48,0.88,3307
2001-02-12,-2.639999999999999,71.89,5168.1721,371539.892269,26710002.85521841,0.67,0.74,3321
2001-02-28,-0.8199999999999985,67.41,4544.1080999999995,306318.327021,20648918.424485605,0.85,0.53,3337
2001-03-15,-2.7799999999999994,72.16999999999999,5208.508899999998,375898.0873129998,27128564.961379193,0.96,0.29,3352
2001-04-02,-2.219999999999999,72.1,5198.409999999999,374805.3609999999,27023466.52809999,1.0,-0.01,3370
2001-04-17,0.5100000000000007,68.94999999999999,4754.102499999998,327795.36737499986,22601490.580506235,0.96,-0.27,3385
2001-04-30,-0.8199999999999985,70.77,5008.3929,354443.96553299995,25083999.440770403,0.88,-0.47,3398
2001-05-14,-0.6799999999999997,71.25999999999999,5077.987599999999,361857.39637599984,25785958.065753747,0.74,-0.67,3412
2001-05-28,2.8900000000000006,69.64999999999999,4851.122499999999,337880.6821249999,23533389.510006238,0.56,-0.83,3426
2001-06-11,4.85,68.03999999999999,4629.441599999999,314987.2064639999,21431729.52781055,0.35,-0.94,3440
2001-06-25,7.0200000000000005,67.89999999999999,4610.409999999999,313046.83899999986,21255880.368099988,0.11,-0.99,3454
2001-07-09,7.0200000000000005,67.89999999999999,4610.409999999999,313046.83899999986,21255880.368099988,-0.13,-0.99,3468
2001-07-23,8.0,66.91999999999999,4478.286399999998,299686.9258879998,20055049.080424946,-0.36,-0.93,3482
2001-08-06,9.75,65.86999999999999,4338.856899999999,285800.50400299986,18825679.1986776,-0.57,-0.82,3496
2001-08-20,9.89,65.38,4274.5444,279469.71287199995,18271729.827571355,-0.75,-0.66,3510
